regional_id,q1_total,q1_mediana_do_rs_anual,q1_total_rs_por_ha,q1_mediana_do_rs_ha_ano,q2_total,q2_mediana_do_rs_anual,q2_total_rs_por_ha,q2_mediana_do_rs_ha_ano
11001,224606.54,57310.34,0.83398884581681,0.21947550694789886,204056.03,49421.665,0.7184995581032595,0.1798515417834771
11002,582550.03,122964.255,3.2409984756097563,0.6929888816811247,317276.80999999994,64533.200000000004,1.8271788093962897,0.3742583045062394
11003,882812.02,226191.54,2.3878887434271743,0.6122455229620889,623993.1100000001,141909.04,1.82814409098633,0.41518915172483883
11004,8318386.489999999,2025567.6350000002,13.175471272851679,3.336297871321528,8547835.120000001,2214119.8550000004,12.816248101440433,3.3491480134203395
11005,135511.3,31272.46,0.9281214470638192,0.21494052375001235,77514.82999999999,19779.545,0.5727203073626657,0.14555547070857588
11006,1035641.6900000001,236521.13,6.476120049775822,1.512439241739329,1848806.96,431594.27,11.42515378293031,2.727801120281571
11007,53219.59,13914.99,1.0698050133676402,0.2893555489432428,66279.53,10919.810000000001,1.2699904194370462,0.21885224639070328
12001,13101.31,3455.875,0.1947715751133576,0.05171212934788859,18248.050000000003,4560.655000000001,0.24787820747925077,0.06343344763833911
12002,5702734.66,1457794.5899999999,10.516935506774638,2.7571035663147123,5435927.3100000005,1379772.355,9.164522421853531,2.395873786807397
12003,1625.1600000000003,378.285,0.007383365665505133,0.0017245980906628756,187423.86,31533.545,0.780574986464537,0.133912867169247
13001,6305948.430000001,1860830.3650000002,2.510326791010998,0.7509083476626681,8779057.53,2215480.3,3.295601600077481,0.8588779390733403
13002,19079.76,4546.02,0.06520832407714364,0.015856665748929685,21455.36,4555.4,0.06997240938472275,0.015390604022208692
13003,95271.44,24570.695,0.4883886545036986,0.12801897394874812,175599.39,45549.15,0.8519692882441415,0.22638365155841422
13004,23549.87,2053.3399999999997,0.13793875602570185,0.012499219831376003,11206.25,2574.01,0.06315871047737136,0.014777796932261153
13005,343774.64,86743.265,1.3919635908669439,0.3550680024811774,28788.81,6090.05,0.11190245931269849,0.02385166578651729
13006,11318.970000000001,2742.71,0.08571470761961017,0.021171291160863078,16651.54,4443.79,0.12323884662068149,0.03338347439855176
13007,8752.02,1879.24,0.06459865813423087,0.013905025193059216,21801.980000000003,3898.53,0.1538275594440133,0.028251272686624564
13008,63419.61,15886.099999999999,0.49527610524096244,0.12426616597317577,70104.64,18048.735,0.5606890980781074,0.14422871552446787
13009,30198.969999999998,8889.369999999999,0.12047926050339706,0.035781382709295595,89095.03,23503.45,0.3469270516954036,0.09241594336900281
14001,10736958.69,2435787.315,24.517802568933035,5.691070722142035,10356220.969999999,2818702.83,18.53512124710283,5.526026145139543
14002,18177.36,4619.24,0.21458086907249355,0.056849536962908745,123384.86000000002,33345.435,1.312912170933623,0.36341834537123197
15001,1781356.6199999999,454782.4,3.2332689955095417,0.8501607979236305,977729.9400000002,226236.98500000002,1.6748346371987937,0.3994701214908253
15002,982923.49,229925.155,1.309391438604344,0.3097677390476139,1267106.3699999999,317116.435,1.6191335232173454,0.4114211909864604
15003,9187196.770000001,2267727.91,10.795956180191192,2.756548251644711,8368341.03,2106127.98,9.302135947044013,2.4232493244369175
15004,847054.97,151796.40999999997,1.8877517377554818,0.34163702652818173,368983.16,96640.215,0.7728383311794804,0.207614477574058
15006,13261039.379999999,3242325.055,6.0895485546032635,1.504677944089647,20611077.939999998,5045654.055,9.082838976870157,2.2544557960298865
15007,111832.09,27677.615,0.31280303538862597,0.07899998927971093,283344.82000000007,68897.615,0.7565242767698614,0.18684238130003047
15008,153041.12,28118.255000000005,0.1675150941991865,0.03134693339363252,140655.65000000002,31601.83,0.1466099186251221,0.033444807899613585
15009,70062.38,16793.005,0.13308534382378473,0.032125143122838096,159829.18,30745.745000000003,0.29042108820793117,0.0570111241966111
15010,359964.65,88696.30500000001,1.6729936048186949,0.3871872095177288,1035182.6799999999,129831.01000000001,4.6525064269662915,0.5879672720545652
15011,74779.14,18802.825,0.10906584134660963,0.027857838079187746,125947.64000000001,32471.745000000003,0.1743509510230073,0.04548073572531869
15012,3202716.41,823247.1399999999,9.401669758758153,2.458997295935322,2472171.8600000003,599175.615,6.91421835888228,1.683585640367259
15013,69546.66,17396.45,0.29307854713713194,0.07586947931028346,52283.200000000004,11222.990000000002,0.20926421792885935,0.046330635376259026
15014,33935.40000000001,5823.175,0.10899893041944905,0.019105167994914685,66831.41,15698.485,0.2037872278142505,0.04872186711450127
16001,2323787.34,568236.16,4.354662651415207,1.109733064756143,2145666.23,569056.875,3.645471555461922,0.9946604340978009
16002,5286.04,474.41499999999996,0.08047315298308645,0.007580667438242897,22701.870000000003,6147.205,0.31150084386448773,0.08774312165176362
16003,67794.34999999999,17279.31,0.34170022630706187,0.08971860661988314,25023.050000000003,5420.8150000000005,0.1157670599120981,0.02525026714695164
17001,7604600.549999999,1922287.785,25.617567567567562,6.5644604631305565,4856092.64,1237007.5,15.709866811598422,4.090951289577834
17002,45535.71000000001,3242.225,0.21862107870908273,0.015850387208298376,0.0,0.0,0.0,0.0
17003,6821.33,1682.06,0.06926544206496685,0.01711525262147746,7030.84,1971.65,0.07065034768278468,0.019961108704343006
17004,30429.56,7422.385,0.18974714564535541,0.0466284678404761,22470.789999999997,5031.6900000000005,0.13660802110753778,0.031131275222827715
17005,41632.380000000005,10133.005000000001,0.22652146471516407,0.05562375396956917,44918.740000000005,9610.11,0.2412262499328715,0.05200903670964037
