regional_id,inter_100k_ha,obitos_100k_ha,inter_10k_vei,obitos_10k_vei
11003,93.31262153726709,29.063642037576745,17.341596239876232,5.20747075585372
11004,171.7703324091076,18.373611003093195,38.55430749030741,4.105114507579345
11005,118.00822089104459,29.157406701814324,20.55650467727589,4.950288023799158
11006,395.5282856207715,30.14159173478656,77.56775824997911,6.278682401377894
11007,120.69341253158295,32.958239191426514,36.61811005290848,9.792604905122486
12001,32.589674830869015,13.807206964037434,11.259167573816768,5.172719487525143
12002,174.4575398298106,14.116960953881662,48.17920640474958,4.048911609548369
12003,3.290559807035116,12.636253363024368,1.8075191393765433,6.526086619393854
13001,35.96523767645365,12.61212570587886,13.501271708216816,4.626991872414099
13002,5.670691152985402,10.481741509249023,5.971949470038134,11.067846397395801
13003,53.83456364911898,12.730366440106387,80.58774389154411,18.152123422381674
13004,3.7770489929808604,14.168507559261702,2.5265657613452657,9.92026030469292
13005,32.842475226971175,9.324511657542477,36.892748387667794,9.7900931634356
13006,8.315240618807476,10.32188559450725,20.83170876688163,22.695910734641018
13007,8.05032034300296,6.083421057506314,21.17043073734442,17.992019930932614
13008,37.529487115565956,7.194332839558179,34.7807067993587,6.511057032483197
13009,18.689601040879047,4.866250149629923,31.91577269885923,8.54698149366956
14001,422.77336911233874,21.404517272068667,105.30742984805416,5.354797939797673
14002,39.34555883660924,24.3254113546038,22.89181787442586,13.484949667311177
15001,172.22269203386875,34.41536697447971,51.65770069320533,10.762498741769328
15002,55.515217678498,17.237013540944066,25.32681389333736,8.258107658387878
15003,221.73606201862881,29.82509036319682,70.44237333328937,8.716799110104724
15004,21.58675607328381,21.61556854119597,11.331412696339827,10.449184474996176
15006,94.829001469542,11.482567194193813,35.81333634200619,4.320244715497069
15007,19.257528431763426,20.385809168688816,14.035676923871371,13.678404039797378
15008,12.814728989349096,22.45861281770059,7.686905372126958,12.458650133725266
15009,6.003150168202552,16.242103738472665,4.497400810882875,10.981651093197042
15010,171.79190558309116,36.52865312801646,66.60908644491332,14.443807851218757
15011,9.455715845273783,11.851874086054886,8.344615032149555,9.389858389979228
15012,131.78426473730653,32.2607240085327,48.63301507494114,11.45661046236814
15013,23.89483530924597,7.692465873817345,72.00337603984576,22.344060257135567
15014,14.089733218931384,3.1597667454505203,36.41810873541201,10.218630993635614
16001,113.35468523930516,12.289521562286732,42.72546657194641,4.469649858353991
16002,26.658529629777462,11.502917561856167,33.99066349548704,14.643695491190433
16003,20.033186161189988,9.155818310087094,13.149055940378656,5.800899779078919
17001,250.52875621754103,34.34152502261965,63.63952908016073,8.386551356285551
17002,1.2096754682653739,30.399910104921084,0.44491110676086915,10.24802770512133
17003,7.648023544613773,25.871393643224103,3.926961617278317,13.15492715124266
17004,17.20914796223026,37.256066368919605,5.169730887199709,11.852060121540882
17005,40.02604398673483,42.09626941779079,8.863750389584085,9.475902512641792
17006,336.90330967705995,28.013106281519264,65.81276843322463,5.352172047960986
17007,81.91976977150456,38.19235787665379,23.031491246541172,10.56511471188382
17008,0.9033463873319998,45.850380203154664,0.26949162349765143,11.663092759085533
21001,79.41896680588661,33.21630137184819,31.956660950575422,12.53245833883415
21002,0.7478339487786416,19.92195644674051,0.29356525001698647,7.806618852902077
21003,180.84745954813803,36.3492793380113,55.29028880760805,11.233997168246454
21004,66.97788004451115,32.85750067977946,29.574288670336713,14.477271474028738
21005,0.9901115158615141,23.734929795023998,0.4260071076750467,10.213474999796727
21006,1.3415843157415188,19.161199978513466,1.2276441983392945,16.47711999788493
21007,125.206468243486,20.864451080217712,61.329793198491004,9.85183624917277
21008,367.863689411019,28.935545324854345,104.65983313403211,7.970682485982861
21009,12.387217037242229,19.36584590631559,9.475767339915798,14.595526121294029
21010,10.675468836154344,23.432438092678666,3.747950394588873,8.480751990962911
21011,164.85969685690262,18.26765614101602,137.2048894988657,14.372853815597763
21012,1.933016925376235,29.115773333202334,0.9743889682569681,11.755630705598172
21013,0.16337359947981847,19.02817692932262,0.1244617031339457,16.441348611937524
21014,122.69268742035962,20.595082627788834,65.10993277756575,11.090355975562165
21015,21.490568433289205,31.54822077946383,11.688992243184586,16.895318949824784
21016,40.53979397894777,11.446338792634883,13.694539527096968,3.7729054562519018
21017,9.110595294664758,25.63460061568881,4.1517280482098835,13.250599405629478
21018,33.03092832161557,15.448754482965782,25.24452566027053,12.285327954531951
21019,4.7654706087831205,20.083947799293075,3.0673759042530873,15.186586639998158
22001,149.63161793349724,33.97526592629832,56.17327307438775,13.09119006158964
22002,23.881820805751364,30.69363687532193,13.382668446088745,15.445078771801565
22003,6.85053710855826,30.361264379965995,2.579939033521512,11.551832157039971
22004,451.89571372207763,24.95371987200021,98.62378910572477,5.612159206870147
22005,154.25730017623266,29.144015410706928,39.09922509143898,7.677835575597536
22006,77.02167681948953,34.30090598867286,30.20346776769886,15.006847297017417
22007,106.80618372599426,41.58998909392699,40.80835805276867,14.207122576978655
22008,100.45359712433864,36.93589565045952,38.99006424188077,15.117976846629368
22009,2.6931576694811947,39.26861840106774,0.9538928412392538,12.739801937685417
22010,16.975597552236344,35.39866855279074,7.5624978338575835,15.48928756996601
22011,444.34898865766087,31.879061050208797,147.51761702120402,10.337544438961928
23001,296.54935031953374,11.99154199413638,75.93029191993944,3.1540433768584726
23002,2.7856070268289335,20.4538798036738,1.0385662354722012,8.289999051540228
23003,4.348136735913847,15.856343761459517,2.112427219805688,6.480348844372381
23004,98.21853257907709,23.327371700950174,41.802440751501564,9.313431052159316
23005,1.4545593262392447,22.39396293196913,0.5239057260132768,7.629253291336589
23006,0.0,21.94881528027804,0.0,9.596664377079971
23007,39.73538916970551,18.585093201673075,16.104798544981648,6.664424877500048
23008,48.75207222038672,25.354602263346514,16.799774709077994,8.397472353164002
23009,455.44556485004,33.221184424293185,129.6993425438649,8.640898778761006
23010,3.949847853315074,35.80625409706674,0.8696627451671493,8.431311266016108
23011,77.66289892483977,28.841806325911534,27.7067370424219,9.077604467147562
23012,0.6576883150437958,40.428350323814755,0.2584530724262789,14.278616908238838
23013,0.9479853374336038,37.485780646953145,0.2833628298088668,10.76544482166215
23014,5.174693733480287,35.231675570079396,1.4533459126727661,10.812831235374663
23015,0.8401875875846708,37.13843174866764,0.2432133913344568,10.2148679562753
23016,0.31580609505763463,23.839570843235016,0.12926577042399173,10.857804711555689
23017,10.408761823280503,31.672511768767635,3.1513783675128537,9.93012976608373
23018,39.38658933516506,30.94380379795802,12.839098885435742,9.867075822509948
23019,181.3887338014415,29.19726471097576,64.55313519366399,10.48319173826459
23020,28.73012344304024,27.537001247432865,9.100878860946334,9.111418009236257
23021,362.81076124298977,20.02885543175921,95.77294987911449,5.329546795686278
23022,1.5231002988223943,21.319074605694713,0.5632652045288425,7.7776496273255695
24001,0.0,17.13303569868666,0.0,8.63030762123263
24002,207.17054324808106,20.561469223410775,50.455296889163094,5.171094300082304
24003,0.14243350491822893,16.42231848738829,0.0662356930902925,7.711784156511353
24004,2.253783380164058,17.12886872916556,0.5895736146986011,4.59371373893378
24005,0.0,17.95466726469916,0.0,7.478035014440103
24006,0.0,26.69781480449771,0.0,8.671763317875927
24007,172.47409741045522,9.292766941217167,44.184921122022274,2.575059075326947
24008,1.25446604531518,17.875141865874312,0.6628499628138078,9.982278331556126
25001,201.64596282259313,15.776297900722538,52.476681530683294,4.296667463564525
25002,0.0,23.26595374448265,0.0,10.9799570914201
25003,,26.75218784074353,,11.930061661204995
25004,6.180889053456726,27.599230113492144,4.61176977065071,21.370979603273117
25005,0.8805232547598788,33.28244634737894,0.45734135192005254,19.444680113468003
25006,157.23233622985924,24.617984473072106,55.76684209205037,8.135261041947283
25007,0.6729430432517887,27.246296554739097,0.2571665234817869,10.637247271960316
25008,4.20532090423011,28.612718363355423,1.2383506494174368,8.926847078638026
25009,264.154114329457,25.97955220830053,86.91157278477112,8.313987211984642
25010,117.14572303060174,32.163304194351085,37.86401250746535,9.829595689400872
25011,0.0,28.267135192305997,0.0,24.8988392352428
25012,1.136757626222725,21.381599629506226,0.6249023590064052,11.889571057315532
25013,39.65506238388357,29.72511231845349,13.919163142695107,9.835563590405048
25014,0.0,22.8815546204562,0.0,10.601188975993777
25015,,23.163838591911883,,12.685533449021936
25016,242.83312467507187,20.024889412419682,64.54624331696363,5.83765207659168
26001,0.0,25.157005363979223,0.0,7.333575356409977
26002,0.0,21.402051085385693,0.0,9.824097363741338
26003,26.481192763981873,21.147096156405382,8.392340318077938,6.517788896896714
26004,0.1840752159059592,27.11213644565564,0.07482213590635015,11.243770668984169
26005,0.0,18.627412116710666,0.0,6.233236982224103
26006,0.0,17.99299462476104,0.0,7.498743344048246
26007,190.50550046641936,33.466706007991306,70.4652345022942,12.397365552506754
26008,137.64078977175353,15.775562701042467,83.63990470210442,9.177814420165888
26009,324.5668145180632,25.61248588353189,102.34991403886004,8.120542253632088
