regional_id,valores_acum_q1,valores_por_hab_q1_media,valores_por_inter_q1_media,valores_acum_q2,valores_por_hab_q2_media,valores_por_inter_q2_media
35082,341491.02,0.5367127767921709,903.4602998897566,416981.21,0.6311008515966658,1024.3974118788913
35083,310609.03,0.6270476021973083,1497.882741472624,484845.48000000004,0.9611301511603989,1558.4012089275104
35091,202869.49,0.373202550021787,857.648967153722,228883.00999999998,0.4113873719022207,638.2362087604395
35092,2107577.81,2.165886847446834,1845.6687148870294,2209558.99,2.225477453363509,2439.396746304824
35093,8486576.22,5.524861733226505,3319.9365672406066,7963547.340000001,5.085118226316056,2575.981454155083
35094,2662931.6500000004,2.776948972198425,2627.351199288878,3269514.0700000003,3.336825513644462,1887.25840750609
35095,532654.66,1.0339150110782196,1221.7808730854927,48023.91,0.09337958848199951,847.8180519480519
35101,2121854.2600000002,1.5808836379136675,1768.0400741794122,1844627.6600000001,1.3228081965084397,2029.6442892917719
35102,701120.89,0.47741498158221124,7272.1680256410245,4316072.37,2.8580287546168406,2638.1923693236927
35103,7102392.5600000005,3.0769248232017166,2710.558900432335,7814090.100000001,3.2618625149330693,2570.999769036165
35104,5822178.57,5.62067287683689,2147.4993961765317,6715743.35,6.239950860193458,2186.301732755609
35111,653748.68,1.225367891666334,1310.7771403075749,410818.28,0.7539114596722855,1146.9622626816936
35112,4349761.83,2.6840393073465765,1668.6409637433167,4933414.819999999,2.9734340673671658,1690.3559925149348
35113,428.78999999999996,0.0018127037676002042,126.85666666666667,53030.560000000005,0.22070338848996937,1067.5582142857145
35114,136103.08,0.34854005447236025,482.38542590962436,59621.67,0.14978679706057088,506.4047161239207
35115,103894.0,0.3782870232425134,458.93331731195303,126742.31,0.4706081506235884,520.1691271367522
35121,2975799.37,2.616809865338305,2291.0873936941643,2176555.26,1.9109798089715717,1643.40003559684
35131,405000.57,0.23581872479665178,861.1767287934051,395969.00999999995,0.21995664267202283,828.6133758606263
35132,20103392.259999998,5.633642853394564,2402.855629738522,19083624.42,5.079199057842034,2315.83534329916
35133,99461.62,0.18114779964003894,1124.4249745924153,147521.64,0.2593723551370416,1128.8989599282297
35141,4105484.0,3.1721562938125754,1884.1176424612738,4498030.92,3.38072501462541,2134.8986065612157
35142,1435921.83,1.2796272074443151,1613.5664492219541,1910802.0999999999,1.6644319898989428,2461.2529055745977
35143,1428291.92,1.6454478314874268,1475.316650925185,1299265.6,1.4935076128185,1378.1461723066577
35151,6218610.850000001,4.970237039491018,3376.5534042547,6646539.16,5.160204465117669,3278.9320885854245
35152,16024.140000000001,0.08489539552939472,2348.19,11731.21,0.060781966691199826,5865.605
35153,889374.76,2.135223862282176,1111.0454555226074,781459.35,1.880617659160043,1356.3437432441056
35154,50062.31,0.10753127515067294,2019.3449743589745,2384.5,0.005088719300259305,682.43
35155,17723052.27,6.251076911164433,2486.9263127309923,29331184.660000004,9.948197056484812,3657.0433744635475
35156,19613.65,0.049112441997979386,515.7959027777778,0.0,0.0,
35157,399056.24,0.5037593375512022,868.2820564308056,1180252.14,1.4588713164675395,1051.874151452574
35161,1204800.31,0.6108902379807525,1300.4094987917376,259524.38000000003,0.12746803513100216,1516.7943015873016
35162,2012955.6500000001,1.781868671084029,1177.4554153489057,2218219.1399999997,1.965864834081927,1194.5456610377591
35163,15213050.51,2.2794068214150283,2516.178466992458,16840623.69,2.399575801701273,2026.4191742475653
35171,6039025.03,1.4181935909298067,2140.920439514727,7882140.43,1.777006552667412,1795.7926036392514
35172,655338.6000000001,0.34238618418618105,1167.4233850551886,754397.5800000001,0.38720231476192524,1135.397307752076
35173,741046.97,0.5780043609850376,902.9889389723681,1151679.11,0.8542697035020528,1049.934068282976
35174,5590905.17,2.309517878444084,1747.158308672616,5917489.029999999,2.349350929781801,1708.3340021627275
41001,1273324.2,1.1022749405579932,2057.2293236782903,1018951.01,0.8547389427333483,1897.8954407729072
41002,13770775.91,0.9782892406060139,1937.8469739279694,14320894.23,0.9742663445848547,2015.5163018849228
41003,9090188.809999999,3.6611891026563153,1220.809238130937,8245129.15,3.217642137909924,1101.8494476657738
41004,0.0,0.0,,5791.71,0.008223403228188148,2895.855
41005,3823453.38,2.078341454584665,1770.326398395995,4577130.14,2.5033877044588455,1879.6100077702001
41006,436173.93,0.6193967010575143,1558.8826363010721,1227215.6400000001,1.7235723185270904,1100.5019946566401
41007,2153940.7,2.0324924112353564,3257.1855955358888,4123792.34,3.848825168992021,2269.8928919528976
41008,5568837.3100000005,3.9008935972946337,3044.5187821142767,6870986.830000001,4.785727531743817,2238.1681371958
41009,1527703.89,0.9399795100980082,1708.0982732736834,3377216.47,2.086332785217647,1514.0312519735849
41010,332377.51,0.15361285269554378,2828.148779425612,11354.2,0.005173597927864385,239.5813734567901
41011,364659.36,0.2682588901071756,1333.3408156028368,316405.09,0.2401975975308937,1455.8455927234527
41012,3388619.5599999996,3.054577493028121,1273.0211574924508,885431.3600000001,0.802153544425592,4671.911664115608
41013,957.38,0.0015356803716250898,957.38,736991.1599999999,1.1282459622068322,8509.10295850127
41014,103301.2,0.0941783766299753,521.8622581609568,1153475.94,1.0397492187303685,1304.905788331875
41015,8234093.350000001,2.5634463683687914,1632.741591763285,9133091.27,2.7048782063177716,1895.5095069919016
41016,7599803.62,5.074295392729978,2363.0200155592083,7977931.36,5.169536331654319,2504.916919714662
41017,13639578.44,3.629810616500275,2054.4639610151003,12119040.87,3.135390663178769,1904.8054919922063
41018,717953.5800000001,0.7805598060784039,1991.8493792417735,1113067.73,1.253105404616966,1338.7518179728393
41019,27002.250000000004,0.023286434159502458,222.73653409090912,18991.71,0.016411575496249484,170.79319115021008
41020,357092.42000000004,0.22992299263777946,2851.6021342017484,1428231.4600000002,0.8939535704456056,3817.8770048421748
41021,148523.66,0.20165441600075928,1187.7573056607744,257254.15000000002,0.337865871906126,922.7343071833997
41022,1098508.55,1.995978279765492,2845.6069949842285,1233086.26,2.4074026908253194,2116.1208095510087
42001,2531331.3400000003,2.7385909585623347,1654.4015200446001,3003951.17,3.228453839857994,1789.3813452937588
42002,7448114.699999999,5.281781061437248,2508.6459140482284,8232564.9799999995,5.610850376289143,2702.412575911842
42003,1750187.5,2.20440044076922,1369.702702864436,1816427.92,2.254169559287196,1529.0337278741777
42004,1172996.57,1.015565284520039,1855.78070026789,1067798.77,0.8903955917944215,1403.1157710244884
