regional_id,inter_100k_ha_q1,obitos_100k_ha_q1,inter_10k_vei_q1,obitos_10k_vei_q1,inter_100k_ha_q2,obitos_100k_ha_q2,inter_10k_vei_q2,obitos_10k_vei_q2
31077,0.0,28.00755897951972,0.0,7.626148937788196,7.370579327535144,25.692366663021808,1.5735866330968185,5.793351337120676
31078,0.0,21.559557755217828,0.0,4.737147424170523,1.1838239998449005,17.606617939846238,0.2269515844901881,3.552021904653328
31079,2.7178292649671745,18.19627108727447,0.6269114250916028,4.176928513801176,55.17589028298704,13.084135869684903,11.01802962036722,2.568415701886971
31080,29.636260610901008,22.847381496317396,10.984814133208186,7.483091384744892,54.43535666453418,13.835867089627236,15.287601430617467,3.746492396713778
31081,57.781385108942885,21.46260921829857,24.61117284195646,9.190083058375535,64.10474329908209,13.495735431385702,22.284605315983697,4.691495855996568
31082,1.0536487872656717,24.36398248641718,0.20192246433027988,5.014247748107508,6.865468719782846,27.458705813281902,1.1154735473134936,4.454631974375706
31083,35.406458536917114,23.151943959369547,12.165909687259369,7.886008571906702,1.9044830366561254,19.651206745381497,0.46713349081926214,5.000786043847217
31084,44.822294689868535,20.5154608293482,10.133902991971816,4.523624312955771,25.591024842467505,14.746775862533863,5.2726357401118396,2.9845120590966268
31085,14.83317125473048,22.36538311235386,4.486466650493304,6.643806769844509,6.804910556311253,18.2123074195576,1.7520156784401624,4.5540202624190655
31086,8.407077276728876,21.385284891414216,1.6457937111741512,4.302258456241292,7.509126132063766,13.900362101724596,1.3697897905520122,2.48649414572159
31087,15.48427581018501,25.6970877858573,2.7891256043135826,4.565940835369643,7.743750058571315,18.107186496505214,1.2550621925141514,2.9036196735524182
31088,86.80153516020454,17.631048724911473,21.21074843425872,4.483899117752154,149.826534197179,17.549390461689505,31.04085192992892,3.861542403795058
31089,0.0,20.097159075224244,0.0,4.706256750611827,0.5023913829829991,18.05667747759137,0.1009061371112591,3.55432062726865
31090,216.40379335138502,21.36565042629133,47.94571245403054,4.686209548353479,0.705895640388525,16.22203016958253,0.13086949693765376,3.0566794369588113
31091,23.68611352910193,17.84236271392666,6.2004467721405785,4.813808938232651,31.623024226029386,14.826251610137735,7.075832757784701,3.3269013968286236
31092,262.9363689181075,13.96019272678278,49.19137009140826,2.558020291444815,239.13101351653995,16.55000808608336,39.70494691877146,2.854285400943318
31093,75.58892163095328,22.88376950856005,14.49078542556554,4.43555270293387,85.72479822895912,23.335739668716155,14.23948426536748,3.8122685573644253
31094,132.5610189954694,15.55828275289748,68.23770933608273,7.587944579928483,151.68745289069767,12.801813898153572,61.70023833913413,5.068174837397877
31095,107.35841186315284,9.65668776547567,38.843827297138624,3.75957375957376,134.16115011525255,16.96794518221529,38.20323214960975,4.886487723130271
31096,3.3029949941771415,24.24243414478956,1.4847854936577316,12.172381715383672,15.732029472382322,23.575023279706592,6.037352625545371,9.129016738616233
31097,271.28202675707314,14.910337742911622,65.79361683875064,3.703157359487579,247.04358776451448,10.73642567235603,54.31275069478769,2.3482549475129804
31098,0.0,22.108545031876773,0.0,7.763409755837637,65.52381453108968,21.840423503238274,19.190104833333958,6.4072561909610215
31099,335.18433153555736,22.72397088881575,119.04635663053075,8.19795359128199,337.78170236896005,13.853866145069798,104.77873280552686,4.0865003066267445
32001,83.22927498626497,28.043597403754543,20.753998493828277,6.922015586410621,65.2610229882198,23.662786310859317,14.448138835422,5.335737825858052
32002,133.47027097536022,16.576433358276383,32.511680739219585,3.998815177622509,133.9508006140607,14.879902643951178,29.715526095656344,3.2480082612926133
32003,159.82120134934127,34.156768106269446,45.70991299130247,9.64330446074562,174.49379284036272,28.32826770421031,44.20491995319911,7.147965301649821
32004,131.756536510888,28.66335388150558,29.00787734206516,6.205866027892878,188.78154845996838,23.303977509380033,35.67359540850195,4.532670053610127
33001,30.06567352563463,17.187034067844774,11.012409543051898,6.318790604473769,30.402062943895384,11.357160150797492,11.264982811284137,4.283373008245718
33002,52.10434317612186,13.137942753939424,13.395553312897928,3.4427005262547987,60.74167606740359,9.328482725470884,15.151516301279884,2.3550482288876378
33003,30.5304034479585,18.0812715310065,8.312465769762333,4.934868226668019,65.62536845518413,14.501694026119523,16.369719902501053,3.6170458980347213
33004,54.04162995046748,13.795054459317432,13.904808901864794,3.6193494877417,47.07735111191317,12.105011934112596,11.164695833109617,2.9655533415714457
33005,48.47185228539409,10.187795897378379,14.040063933302896,2.92378356009658,31.42038535034252,8.599651310747383,8.50381038329845,2.283382878647642
33006,63.667474068207355,16.319334092778526,18.462991565944506,4.757896640760779,144.96591851146854,13.657653788947712,39.397950540318455,3.6983425064629136
33007,127.2606928434646,28.00702425447349,34.60945972317467,7.637084428057565,160.85671530498755,23.754917699994813,39.98995163021517,5.909330813979372
33008,22.361858088866,26.33007435667047,5.825193399991079,6.861007700273181,8.752809743663974,18.26132999485113,2.2054457933705103,4.642988944273869
33009,169.84592643043055,19.336347614757884,36.53690059595266,4.206016979773201,156.54551734692114,14.251718174815451,31.766074114550474,2.9076196829487677
35011,108.12209281673069,12.068302819514635,25.337920342508006,2.863770568600354,105.91384946136,9.24202519504048,23.44747721565865,1.9831347557123578
35012,75.15199835123546,14.455251973795162,21.16428721694301,3.958425635949628,105.31597262848811,11.67360172504234,26.834171557057765,2.9193060389494088
35013,135.76164616786386,10.59460734367449,30.38389382971316,2.3988033942661686,152.7906587986716,8.453930545889836,36.55931813147777,2.0077860807435695
35014,96.59845866926725,11.463788338054927,18.974818940334565,2.274877936651267,109.09913020067785,9.139943165650477,20.291062571399607,1.7134859217125564
35015,67.01516540764635,8.394809696367165,11.421483358572036,1.4312558718951913,74.26618860970278,7.029602942809225,11.875347488864257,1.1178428322434733
35016,76.27090145359803,9.386345197650797,12.26497261459589,1.528948998583442,87.73663293963483,6.843572927544681,12.988967664065036,1.0036169842956855
35021,253.3058796693404,16.90359567220016,38.06596483053947,2.5155412310087275,232.62286700594933,13.58825830489566,31.948123292659616,1.8986070385908067
35022,15.30351318286775,14.355444701798746,2.9103167836964294,2.769366955669405,27.07397526364817,12.35070176050611,4.7260772360183445,2.0825539469834853
35023,83.12632206179572,23.169632360164773,13.750005707971226,3.7715183841022792,42.10488911109473,17.211921374217745,6.41166349762324,2.5499347089275872
