regional_id,inter_100k_ha_q1,inter_10k_vei_q1,obitos_100k_ha_q1,obitos_10k_vei_q1,inter_100k_ha_q2,inter_10k_vei_q2,obitos_100k_ha_q2,obitos_10k_vei_q2,inter_100k_ha_q1_norm,inter_10k_vei_q1_norm,obitos_100k_ha_q1_norm,obitos_10k_vei_q1_norm,inter_100k_ha_q2_norm,inter_10k_vei_q2_norm,obitos_100k_ha_q2_norm,obitos_10k_vei_q2_norm,max_100k_ha_q1,max_10k_vei_q1,max_100k_ha_q2,max_10k_vei_q2,rank_100k_ha_q1,rank_10k_vei_q1,rank_100k_ha_q2,rank_10k_vei_q2
11001,38.787256232552515,9.230540979813828,28.277222078749254,6.7157811256640665,35.970560619318874,7.315924069791606,24.552680877098357,5.045385486851183,0.06781112728762123,0.043913341530072474,0.5408352577215765,0.15577376240624705,0.05911847847071464,0.03894776131264607,0.5487500839253754,0.14430822867942192,0.5408352577215765,0.15577376240624705,0.5487500839253754,0.14430822867942192,322.0,199.0,335.0,187.0
11002,180.4565797887322,32.99713405463265,31.990282756459575,5.84096148970601,80.8289392078365,12.294303296112433,29.11260699854914,4.303070624207184,0.3154892944366744,0.15698044355401303,0.6214351099122283,0.12956024562039076,0.13284429878478965,0.06545114270108937,0.6674658703957884,0.11836462492389284,0.6214351099122283,0.15698044355401303,0.6674658703957884,0.11836462492389284,375.0,200.0,390.0,152.0
11003,99.48207172939983,19.947685574582337,32.054202661395,6.432542641168103,82.68637889714266,13.16325931209952,28.019875669108988,4.413455758050698,0.17392288303231335,0.09489904560163728,0.6228226269330955,0.1472866680812502,0.13589704543072104,0.07007720103343301,0.6390170631738692,0.1222225406373636,0.6228226269330955,0.1472866680812502,0.6390170631738692,0.1222225406373636,376.0,186.0,376.0,158.0
11004,136.79755234808428,31.984975779882614,23.74629632435647,5.613633440119459,245.77470569764333,53.22598875137072,17.404766903580143,3.765825487137309,0.2391609290250771,0.15216520551988388,0.44248191049966323,0.12274847848714968,0.4039366192037817,0.2833590241973386,0.3626571064542643,0.09958812500837091,0.44248191049966323,0.15216520551988388,0.4039366192037817,0.2833590241973386,242.0,196.0,207.0,346.0
11005,130.20052229752824,27.572614541582784,29.6997703488803,6.211110025044695,111.79104660935639,18.041088935859577,25.240000609974565,4.040847245222788,0.22762744901307577,0.13117385447824406,0.571714683149478,0.14065155455487144,0.18373126435634177,0.09604528682787353,0.566644168274942,0.10920002404876569,0.571714683149478,0.14065155455487144,0.566644168274942,0.10920002404876569,342.0,171.0,344.0,133.0
11006,414.9870442309511,86.85282433536004,32.13380601096408,6.734687228000585,355.3992030942761,62.04056041617867,33.36431322584329,5.82193494213931,0.7255150792399021,0.41319330537948384,0.6245505863622705,0.15634027395969508,0.5841071080041441,0.3302851308653555,0.7781572796798032,0.17144831758025403,0.7255150792399021,0.41319330537948384,0.7781572796798032,0.3302851308653555,415.0,390.0,424.0,388.0
11007,123.78661484207439,40.62410086322944,41.053344856514386,13.40138667946174,114.9277201572319,30.63020797944103,21.475819590096577,5.695785501967952,0.21641411924658968,0.1932649472506959,0.8181680828055157,0.35610446625031567,0.18888646250774746,0.16306593917040998,0.46864527568550635,0.16703944574636606,0.8181680828055157,0.35610446625031567,0.46864527568550635,0.16703944574636606,438.0,360.0,271.0,223.0
12001,23.313380557408294,9.870814451905993,16.79258682970763,7.017811243527538,35.38682113524612,12.034048621485889,10.391310486307761,3.5095816707234944,0.04075840288894627,0.0469593761789751,0.2915369068777337,0.16482393828138922,0.05815908863837695,0.06406562573137269,0.18006467572699733,0.09063250742290872,0.2915369068777337,0.16482393828138922,0.18006467572699733,0.09063250742290872,89.0,214.0,21.0,94.0
12002,167.94814966770753,49.49513315305258,16.341200755084493,4.86260654121185,193.39603717417086,52.551393714063714,12.246736573421572,3.3258202397185683,0.2936210101213417,0.23546796346818757,0.28173861537284556,0.10024434687882795,0.31785102214565497,0.2797676847786837,0.22836992482593602,0.08421011984661798,0.2936210101213417,0.23546796346818757,0.31785102214565497,0.2797676847786837,92.0,285.0,128.0,341.0
12003,1.5034225298784363,0.8823034521517547,12.984651215343838,7.672677590278262,21.592402609346333,10.424955599183395,11.461092845916834,5.789887572746446,0.0026284090818237058,0.00419746718120127,0.20887759309067658,0.18444666880485627,0.03548763118543287,0.05549930241190895,0.20791601603177387,0.17032827500159117,0.20887759309067658,0.18444666880485627,0.20791601603177387,0.17032827500159117,27.0,240.0,29.0,230.0
