"ano","nome_acao","cod_acao","unidade_orcamentaria","valor_pago"
"2009","Educação para a Cidadania no Trânsito","4414","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","7511704.2"
"2009","Fomento a Pesquisa e Desenvolvimento na Área de Trânsito","4398","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","560600"
"2009","Fomento a Projetos Destinados à Redução de Acidentes no Trânsito","8487","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2009","Fortalecimento Institucional dos Órgãos e Entidades do Sistema Nacional de Trânsito - SNT","8028","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2009","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","0"
"2009","Sistema de Informações do Sistema Nacional de Trânsito","4410","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","90489281.76"
"2009","Vigilância e Fiscalização do Trânsito Interestadual de Animais, seus Produtos e Insumos","2139","Ministério da Agricultura, Pecuária e Abastecimento","36972.61"
"2009","Vigilância e Fiscalização do Trânsito Interestadual de Vegetais, seus Produtos e Insumos","2134","Ministério da Agricultura, Pecuária e Abastecimento","6226314.26"
"2009","Vigilância e Fiscalização do Trânsito Internacional de Animais, seus Produtos e Insumos","2181","Ministério da Agricultura, Pecuária e Abastecimento","2684500.40"
"2009","Vigilância e Fiscalização do Trânsito Internacional de Vegetais, seus Produtos e Insumos","2180","Ministério da Agricultura, Pecuária e Abastecimento","2814348.87"
"2010","Capacitação de Profissionais do Sistema Nacional de Trânsito","6622","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","5924057.55"
