"ano","nome_acao","cod_acao","unidade_orcamentaria","valor_pago"
"2020","Apoio ao Fortalecimento Institucional do Sistema Nacional de Trânsito","20YZ","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","72064330.33"
"2020","Educação para a Cidadania no Trânsito","4414","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2020","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","270000"
"2020","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Recursos sob Supervisão do Departamento Nacional de Infra-Estrutura de Transportes - DNIT","0"
"2021","Apoio ao Fortalecimento Institucional do Sistema Nacional de Trânsito","20YZ","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","53792"
"2021","Controle de Trânsito na Malha Rodoviária Federal","2036","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","112675839.86"
"2021","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","967375"
"2021","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Recursos do Departamento Nacional de Infra-Estrutura de Transportes - DNIT(39252)","0"
"2022","Apoio ao Fortalecimento Institucional do Sistema Nacional de Trânsito","20YZ","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","1358807.20"
"2022","Controle de Trânsito na Malha Rodoviária Federal","2036","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","172773651.75"
"2022","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","500000"
"2022","Operação de Pesagem e Autorizações Especiais de Trânsito de Veículos","2325","Departamento Nacional de Infra-Estrutura de Transportes - DNIT","17765137.47"
"2023","Apoio ao Fortalecimento Institucional do Sistema Nacional de Trânsito","20YZ","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","1385000"
"2023","Controle de Trânsito na Malha Rodoviária Federal","2036","Departamento Nacional de Infraestrutura de Transportes - DNIT","165176164.26"
"2023","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infraestrutura de Transportes - DNIT","11154.72"
"2023","Operação de Pesagem e Autorizações Especiais de Trânsito de Veículos","2325","Departamento Nacional de Infraestrutura de Transportes - DNIT","49666497.49"
"2024","Controle de Trânsito na Malha Rodoviária Federal","2036","Departamento Nacional de Infraestrutura de Transportes - DNIT","1067309.18"
"2024","Desenvolvimento de Melhorias em Locais Críticos de Sinistros de Trânsito em municípios","21G6","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
"2024","Julgamento de Recursos Administrativos a Multas de Trânsito","4482","Departamento Nacional de Infraestrutura de Transportes - DNIT","0"
"2024","Operação de Pesagem e Autorizações Especiais de Trânsito de Veículos","2325","Departamento Nacional de Infraestrutura de Transportes - DNIT","1319329.61"
"2024","Promoção do Fortalecimento Institucional do Sistema Nacional de Trânsito","20YZ","Fundo Nacional de Segurança e Educação do Trânsito - FUNSET","0"
