_normalized_mun_slug,_normalized_mun_cod_ibge,vlr_investimento_sum,vlr_desembolsado_sum,vlr_investimento_por_populacao,vlr_desembolsado_por_populacao,populacao
barra-de-santa-rosa-pb,2501609,6379261.45,678159.5,Infinity,Infinity,
estrela-dalva-mg,3124609,295616.15,295300,Infinity,Infinity,
senador-jose-porfirio-pa,1507805,1593476.14,0,Infinity,NaN,
senador-sa-ce,2312809,558277.87,543723.82,Infinity,Infinity,
serra-do-navio-ap,1600055,1966595.52,0,Infinity,NaN,
cachoeira-do-arari-pa,1502004,146950,,Infinity,NaN,
cachoeira-do-piria-pa,1501956,500000,,Infinity,NaN,
cachoeirinha-pe,2603108,6739711.510000001,1441942.85,Infinity,Infinity,
presidente-castelo-branco-pr,4120408,1101111.3,516326.19,Infinity,Infinity,
presidente-figueiredo-am,1303536,11519547,9575191,Infinity,Infinity,
fazenda-nova-go,5207600,2506846.27,499047.61,Infinity,Infinity,
ouro-branco-mg,3145901,2170114.81,1124650,Infinity,Infinity,
ouro-velho-pb,2510600,3611613.02,3304211.8899999997,Infinity,Infinity,
capim-grosso-ba,2906873,5504734.45,2345602.38,Infinity,Infinity,
jundiai-sp,3525904,179091561.18,15342810.209999999,Infinity,Infinity,
lajeado-novo-ma,2105989,5814801.859999999,2898050,Infinity,Infinity,
tijucas-do-sul-pr,4127601,146950,0,Infinity,NaN,
itatiaia-rj,3302254,41936079.54,0,Infinity,NaN,
igarape-acu-pa,1503200,897200,246550,Infinity,Infinity,
caldas-novas-go,5204508,11691895.120000001,2214056,Infinity,Infinity,
pinto-bandeira-rs,4314548,1744142.4700000002,491700,Infinity,Infinity,
ponte-alta-do-bom-jesus-to,1717800,3943738.9499999997,1495202.37,Infinity,Infinity,
sant-ana-do-livramento-rs,4317103,12433475.91,5007853,Infinity,Infinity,
alto-horizonte-go,5200555,250000,245850,Infinity,Infinity,
alto-boa-vista-mt,5100359,639382.1,340757,Infinity,Infinity,
antonio-olinto-pr,4101309,3022072.77,1416607.1400000001,Infinity,Infinity,
aracoiaba-pe,2601052,2976300.21,820687.9099999999,Infinity,Infinity,
coronel-murta-mg,3119500,369783.36,0,Infinity,NaN,
coronel-joao-pessoa-rn,2402907,683089.1100000001,232380.95,Infinity,Infinity,
coronel-pilar-rs,4305934,1881067.08,1419412,Infinity,Infinity,
doutor-ulysses-pr,4128633,1522408.25,885900,Infinity,Infinity,
florinea-sp,3516101,3311102.4600000004,1756264.28,Infinity,Infinity,
general-carneiro-mt,5103908,1133819.27,700225.71,Infinity,Infinity,
governador-newton-bello-ma,2104651,4738223.51,0,Infinity,NaN,
governador-eugenio-barros-ma,2104602,440865.4,0,Infinity,NaN,
jardim-ce,2307106,543389.02,295300,Infinity,Infinity,
pedro-alexandre-ba,2924207,2077313.42,267400,Infinity,Infinity,
rosario-da-limeira-mg,3156452,362941.82,0,Infinity,NaN,
salto-da-divisa-mg,3157104,591160.91,245850,Infinity,Infinity,
santana-dos-montes-mg,3159100,2146334.59,714557.14,Infinity,Infinity,
santana-dos-garrotes-pb,2513604,2099363.81,1240552.38,Infinity,Infinity,
