_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum,_regional_saude_populacao_quadrienio,_regional_saude_frota_quadrienio,_regional_saude_vlr_investimento_por_hab,_regional_saude_vlr_repasse_financiamento_por_hab,_regional_saude_vlr_contrapartida_por_hab,_regional_saude_vlr_investimento_por_frota,_regional_saude_vlr_repasse_financiamento_por_frota,_regional_saude_vlr_contrapartida_por_frota
26010,Recife,2014-2017,496814248.42,379791513.28999996,117022735.13,4198599,1282602,118.32857779940404,90.45672456216941,27.87185323723461,387.34872424961134,296.110183275872,91.23854097373932
27001,1ª Região de Saúde,,244929054.84,220664885.34,24264169.5,,,,,,,,
27009,9ª Região de Saúde,,200500,196400,4100,,,,,,,,
27010,10ª Região de Saúde,,300000,292500,7500,,,,,,,,
28001,Aracaju,2014-2017,813895.1,789800,24095.1,852138,314250,0.9551212362316901,0.926845182353093,0.028276053878597128,2.589960540970565,2.513285600636436,0.07667494033412887
28002,Estância,2014-2017,656582.06,640050,16532.059999999998,246592,53276,2.662625145990138,2.595582987282637,0.06704215870750065,12.324162099256702,12.01385239132067,0.3103097079360312
28004,Lagarto,,1582624.05,1482100,100524.05,,,,,,,,
28005,Nossa Senhora da Glória,2014-2017,1020580.05,997943.81,22636.239999999998,172636,35722,5.91174523274404,5.780624029750458,0.13112120299358185,28.5700702648228,27.936392419237446,0.6336778455853536
28006,Nossa Senhora do Socorro,,1318383.74,987600,330783.74,,,,,,,,
28007,Propriá,2014-2017,800000,789800,10200,160209,31148,4.99347727031565,4.929810435119125,0.06366683519652454,25.68383202773854,25.35636316938487,0.32746885835366635
29001,Alagoinhas,,1456000,1400000,56000,,,,,,,,
29001,Alagoinhas,2014-2017,450000,434452.72,15547.28,556410,111678,0.8087561330673424,0.7808140040617529,0.027942129005589404,4.029441787997636,3.890226544171636,0.13921524382599976
29002,Barreiras,,2056600,1976600,80000,,,,,,,,
29006,Feira de Santana,,3389816.67,3023250,366566.67000000004,,,,,,,,
29014,Jacobina,,1036980,987600,49380,,,,,,,,
29016,Juazeiro,,185500,156000,29500,,,,,,,,
29016,Juazeiro,2014-2017,470000,436727,33273,547832,128561,0.8579272477693891,0.7971914747586851,0.060735773010704014,3.655852085780291,3.397041093333126,0.25881099244716516
29020,Salvador,,2614742267.0400004,1807595300,807146967.0400001,,,,,,,,
29020,Salvador,2014-2017,646257689.1800001,518623486.03,127634203.15,3489230,963517,185.2149870257908,148.63551156845492,36.57947545733586,670.7278534576973,538.2608568712332,132.46699658646398
31003,Itajubá,,405822.24,245850,159972.24,,,,,,,,
31004,Lavras,,150000,146250,3750,,,,,,,,
31008,São Lourenço,,504612.25,494600,10012.25,,,,,,,,
31015,São João Del Rei,,325807.44,300000,25807.44,,,,,,,,
31016,Belo Horizonte/ Nova Lima/ Caeté,,2277330000,2277330000,0,,,,,,,,
31016,Belo Horizonte/ Nova Lima/ Caeté,2014-2017,43848000,43848000,0,3412820,2144966,12.848025972656044,12.848025972656044,0,20.442282068806684,20.442282068806684,0
31019,Curvelo,,422871.34,394200,28671.34,,,,,,,,
31024,Sete Lagoas,,309695,300000,9695,,,,,,,,
31030,Formiga,,135129,98200,36929,,,,,,,,
31031,Itaúna,,500000,394200,105800,,,,,,,,
31032,Pará de Minas,,467788.54,415558.04,52230.5,,,,,,,,
31047,São João Nepomuceno / bicas,,101000,98200,2800,,,,,,,,
