_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum,_regional_saude_populacao_quadrienio,_regional_saude_frota_quadrienio,_regional_saude_vlr_investimento_por_hab,_regional_saude_vlr_repasse_financiamento_por_hab,_regional_saude_vlr_contrapartida_por_hab,_regional_saude_vlr_investimento_por_frota,_regional_saude_vlr_repasse_financiamento_por_frota,_regional_saude_vlr_contrapartida_por_frota
11001,Vale do Jamari,,37789913.17999999,35109356.870000005,2680556.31,,,,,,,,
11001,Vale do Jamari,2018-2021,16292993.770000001,15620020.26,672973.5099999999,284003,144409,57.36909036172153,54.99949035749622,2.369600004225307,112.8253347783033,108.16514386222465,4.660190916078637
11002,Café,2018-2021,33327010.969999995,26218538,7108472.969999999,173643,123301,191.92832979158385,150.99104484488288,40.937284946700984,270.2898676409761,212.63848630586938,57.65138133510676
11003,Central,2018-2021,52990486.81,50873331.6,2117155.21,341326,229042,155.2489022518062,149.04616583559414,6.202736416212067,231.35707341884896,222.11354948000803,9.24352393884091
11001,Vale do Jamari,2014-2017,44560421.93,42285921.18,2274500.75,269316,119818,165.45775939788203,157.012287350176,8.44547204770604,371.9008991136557,352.9179353686424,18.98296374501327
11002,Café,,27094564.12,25266239.46,1828324.6600000008,,,,,,,,
12002,Baixo Acre e Purus,2018-2021,222254593.78000003,221007206.41,1247387.37,593149,227211,374.7028044892599,372.5998128800689,2.1029916091909455,978.185887919159,972.6958924083781,5.489995510780728
11002,Café,2014-2017,36842105.26,35000000,1842105.26,179744,104422,204.96987526704646,194.72138152038454,10.24849374666192,352.8193796326444,335.17841067974183,17.640968952902647
11003,Central,,61271077.719999984,55744959.269999996,5526118.449999999,,,,,,,,
11004,Madeira-Mamoré,2018-2021,37543277.8,34430160.730000004,3113117.0700000003,666953,309155,56.290739827244195,51.623068986870145,4.667670840374059,121.4383652213291,111.36860387184423,10.069761349484887
11005,Zona da Mata,2018-2021,13318378.280000001,13193610,124768.28,135345,90084,98.40317913480366,97.48132550149617,0.9218536333074735,147.84399316193776,146.45897162648194,1.3850215354557969
11003,Central,2014-2017,12006666.86,9887200,2119466.86,369704,196447,32.47643211866791,26.743557007768377,5.73287511089953,61.11911538481117,50.33011448380479,10.789000901006377
11004,Madeira-Mamoré,,77192287.97,73411014.17000002,3781273.8,,,,,,,,
11004,Madeira-Mamoré,2014-2017,1185120,987600,197520,631354,276672,1.8771085635000333,1.5642571362500277,0.31285142725000553,4.2834836918806385,3.5695697432338656,0.713913948646773
11005,Zona da Mata,,53913874.91,52365635.17,1548239.7400000002,,,,,,,,
11006,Cone Sul,2018-2021,43299072.58,36523914.83,6775157.749999999,161819,98049,267.57718549737666,225.70844480561615,41.86874069176054,441.60646799049454,372.5067550918418,69.09971289865271
13002,Rio Negro e Solimões,2018-2021,52938455.760000005,52818004.24,120451.52,306626,33375,172.64829388244965,172.25546509428426,0.3928287881653872,1586.1709591011238,1582.5619247940076,3.609034307116105
13003,Rio Madeira,2018-2021,20732030.240000002,20594261,137769.24,206110,17823,100.58721187715298,99.9187860851002,0.6684257920527873,1163.2177658082255,1155.487908881782,7.729856926443359
13004,Médio Amazonas,2018-2021,78165179.36,77394668,770511.36,177430,28435,440.5409421180184,436.1983204644085,4.342621653609874,2748.907310005275,2721.8100228591525,27.097287146122735
13005,Baixo Amazonas,2018-2021,38703601.06,38242415.63,461185.43,257267,27388,150.44137436981813,148.64874091896746,1.7926334508506727,1413.159086461224,1396.320126697824,16.83895976340003
11005,Zona da Mata,2014-2017,2073966.35,1976600,97366.35,146006,74324,14.204665219237567,13.537799816445899,0.6668654027916662,27.904396291911095,26.594370593617136,1.3100256982939562
11006,Cone Sul,2014-2017,37374915,30558319.49,6816595.51,159917,80802,233.71445812515242,191.0886240362188,42.62583408893363,462.54937996584243,378.18766231033885,84.36171765550357
11006,Cone Sul,,46280273.190000005,42256995.370000005,4023277.8199999994,,,,,,,,
11007,Vale do Guaporé,,2852724.4699999997,2757658.8200000003,95065.65,,,,,,,,
11007,Vale do Guaporé,2018-2021,741240,719960,21280,52189,20856,14.202992967866791,13.795244208549695,0.4077487593170975,35.54085155350978,34.52052167242041,1.0203298810893748
12001,Alto Acre,,45185738.25,44997028.38,188709.87,,,,,,,,
12001,Alto Acre,2018-2021,21062738.09,20880761.83,181976.26,73617,23662,286.1124209082141,283.6404883382914,2.4719325699227084,890.1503714817006,882.4597172681937,7.690654213506889
12003,Juruá e Tarauacá/Envira,2018-2021,45619690.46,45286364.28,333326.18,240110,50985,189.9949625588272,188.60673974428389,1.3882228145433342,894.7669012454644,888.2291709326273,6.537730312837109
12001,Alto Acre,2014-2017,6240872.18,5977501.73,263370.44999999995,67265,17569,92.7803788002676,88.86496290790159,3.9154158923660143,355.22068302123057,340.2300489498549,14.990634071375716
12002,Baixo Acre e Purus,,318065996.32000005,292044366.75,26021629.570000015,,,,,,,,
12002,Baixo Acre e Purus,2014-2017,187351618.52999997,171113122.67,16238495.860000005,542243,191291,345.51228605993987,315.5653879718134,29.94689808812655,979.4063418038485,894.5173723280237,84.88896947582482
12003,Juruá e Tarauacá/Envira,,29542541.740000002,28593188.090000004,949353.65,,,,,,,,
12003,Juruá e Tarauacá/Envira,2014-2017,3493380,3489860,3520,220111,40401,15.87099236294415,15.85500043160042,0.015991931343731117,86.46766169154229,86.38053513526893,0.08712655627335956
13001,"Manaus, Entorno e Alto Rio Negro",,3419226559.520001,2079482011.73,1339744547.7900002,,,,,,,,
