_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum
33008,Norte,2014-2017,2577154.95,1678500,898654.9500000001
33009,Serrana,,1042263.26,986200,56063.26
33009,Serrana,2014-2017,4178763.26,4149600,29163.260000000002
35011,Alto do Tietê,,505830915.36,413243750,92587165.36
35011,Alto do Tietê,2014-2017,1986663.85,1745831.3599999999,240832.49
35012,Franco da Rocha,,579557.46,491700,87857.45999999999
35014,Rota dos Bandeirantes,2014-2017,66500000,61500000,5000000
35014,Rota dos Bandeirantes,,2785760,2563900,221860
35015,Grande ABC,,99438563.9,73789050.8,25649513.1
35015,Grande ABC,2014-2017,214396169.09,213155169.09,1241000
35016,São Paulo,,4509152320.900001,2716843113.33,1792309207.57
35063,Polo Cuesta,2018-2021,516946.23,481104,35842.23
35171,Alto Vale do Paraíba,2018-2021,2336508.27,2331835.25,4673.02
35016,São Paulo,2014-2017,2497191522.16,2494345473.16,2846049
35031,Central do DRS III,,587843.3,493100,94743.3
35033,Norte do DRS III,,37440,28080,9360
35041,Baixada Santista,,253469268.14999998,253055929.29,413338.86
35062,Bauru,,146250,146250,0
35065,Lins,,367950,346950,21000
35072,Região Metropolitana de Campinas,,7473157.8100000005,7172705.43,300452.38
35072,Região Metropolitana de Campinas,2014-2017,193712441.08,94478422.99,99234018.09
35073,Jundiaí,,243871.62,200000,43871.62
35082,Alta Anhanguera,,200000,200000,0
35091,Adamantina,,1562500,1500000,62500
35093,Marília,,275500,267500,8000
35104,Rio Claro,,100000,100000,0
35121,Vale do Ribeira,,100000,100000,0
35131,Horizonte Verde,,322345.58999999997,248200,74145.59
35155,São José do Rio Preto,,201000,196400,4600
35163,Sorocaba,,923000,850000,73000
35171,Alto Vale do Paraíba,2014-2017,3426685.85,3150780.55,275905.30000000005
35174,Vale do Paraíba/Região Serrana,,970630.68,887300,83330.68
41002,2ª RS Metropolitana,,1817000000,1085000000,732000000
41002,2ª RS Metropolitana,2018-2021,367549.86,335755,31794.86
41002,2ª RS Metropolitana,2014-2017,2361606164.79,2191719784.29,169886380.5
41003,3ª RS Ponta Grossa,,1155627,1138150,17477
41004,4ª RS Irati,,306500,300000,6500
41005,5ª RS Guarapuava,2014-2017,502962,493100,9862
41008,8ª RS Francisco Beltrão,,982186.94,900000,82186.94
41015,15ª RS Maringá,,8052479.17,7348600,703879.1699999999
41015,15ª RS Maringá,2018-2021,299897,238750,61147
41017,17ª RS Londrina,,6438000,6438000,0
41017,17ª RS Londrina,2014-2017,347027.1,344750,2277.1
41018,18ª RS Cornélio Procópio,,1260154.61,1234850,25304.61
42001,Extremo Oeste,,464963.42,361730,103233.42
42003,Xanxerê,,670137.88,586233,83904.88
42004,Alto Vale do Itajaí,,1909337.86,1482190,427147.86000000004
42005,Foz do Rio Itajaí,,1681716.26,1287190,394526.26
42006,Médio Vale do Itajaí,,2301837.95,1838230,463607.95
42007,Grande Florianópolis,2014-2017,40650125.41,36150125.41,4500000
42007,Grande Florianópolis,,204017490.35000002,177362825.09,26654665.26
42008,Meio Oeste,,219334.14,146950,72384.14
42009,Alto Vale do Rio do Peixe,,363000,345850,17150
42011,Nordeste,,1304620.31,1015215,289405.31
42012,Planalto Norte,,1968441.4000000001,1498075,470366.4000000001
42013,Serra Catarinense,,415398.73,362430,52968.729999999996
42014,Extremo Sul Catarinense,,1445253.2399999998,1107070,338183.24
42014,Extremo Sul Catarinense,2014-2017,387468.25,381029.49,6438.76
42015,Carbonífera,,1412895.45,1230200,182695.44999999998
42016,Laguna,,467853.26,440850,27003.260000000002
43001,Região 01 - Verdes Campos,,181514018.9,172415729.05,9098289.85
43002,Região 02 - Entre Rios,2018-2021,240000,238856,1144
43003,Região 03 - Fronteira Oeste,,103500,100000,3500
43003,Região 03 - Fronteira Oeste,2018-2021,268856,238856,30000
43008,Região 08 - Vale do Caí e Metropolitana,2018-2021,316425.48,238856,77569.48
43008,Região 08 - Vale do Caí e Metropolitana,2014-2017,10059081.74,9704875.46,354206.28
43009,Região 09 - Carbonífera/Costa Doce,,307039.92,300000,7039.92
43010,Região 10 - Capital e Vale do Gravataí,,3979079464.29,2911243750,1067835714.29
43010,Região 10 - Capital e Vale do Gravataí,2014-2017,315822,311124,4698
43011,Região 11 - Sete Povos das Missões,,320254,295300,24954
43013,Região 13 - Diversidade,2018-2021,239106,238856,250
43017,Região 17 - Planalto,,6241340,800000,5441340
43020,Região 20 - Rota da Produção,2018-2021,300103.99,238750,61353.99
43026,Região 26 - Uva Vale,2018-2021,385370.86,286500,98870.86
43021,Região 21 - Sul,2014-2017,414200.95,394200,20000.95
43022,Região 22 - Pampa,2014-2017,341253.15,251784,89469.15
43024,Região 24 - Campos de Cima da Serra,,115119.2,97500,17619.2
43025,Região 25 - Vinhedos e Basalto,,1179416.66,986200,193216.66
43027,Região 27 - Jacuí Centro,,311282.5,287882.5,23400
43030,Região 30 - Vale da Luz,,1012290,987600,24690
43030,Região 30 - Vale da Luz,2018-2021,364160.46,238856,125304.46
50001,Campo Grande,,134399475,129730000,4669475
51005,Garças Araguaia,,4359309.2,4262800,96509.2
51007,Médio Norte Matogrossense,,1020408.16,1000000,20408.16
51009,Norte Araguaia Karajá,,301327,295300,6027
51010,Norte Matogrossense,,2097070.1,1959180,137890.1
51011,Oeste Matogrossense,,306122.45,300000,6122.45
52001,Central,2014-2017,224228315.79000002,215323461,8904854.790000001
52001,Central,,206303598.08,195503100,10800498.08
52002,Centro Sul,2014-2017,3000000,3000000,0
52002,Centro Sul,,3723800,3600000,123800
52004,Entorno Sul,,17500000,17500000,0
52005,Estrada de Ferro,,515000,500000,15000
52018,São Patrício II,,2000000,1875000,125000
53001,Distrito Federal,,837599745.89,772974909.7,64624836.19
53001,Distrito Federal,2018-2021,1441471.26,1372829.77,68641.49
53001,Distrito Federal,2014-2017,911672025.2200001,753494519.6600001,158177505.55999997
,,,2107298437.52,954718536,1152579901.52
