_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum
16003,Área Sudoeste,2018-2021,133566078.62,132387023,1179055.62
17004,Cerrado Tocantins Araguaia,2018-2021,48667571.53,47765044.76,902526.7700000001
17008,Amor Perfeito,2018-2021,34402483.279999994,33136256.939999998,1266226.3399999999
15012,Xingu,2014-2017,1086190,1085100,1090
15013,Marajó I,,8216384.07,7994017,222367.07
15013,Marajó I,2014-2017,1266224,1244907,21317
15014,Marajó II,,19300980.03,18316555.6,984424.4299999999
16001,Área Central,2018-2021,180745206.86,174874512.76,5870694.100000001
17003,Sudeste,2018-2021,26441087.619999997,25621576.740000002,819510.88
15014,Marajó II,2014-2017,2084503.4900000002,1892949.25,191554.24
16001,Área Central,2014-2017,110072001.31,104128931.67,5943069.64
16001,Área Central,,87408752.69000001,84374636.25,3034116.44
16002,Área Norte,,18355063.8,18234860,120203.8
16003,Área Sudoeste,,69676526,68547624.62,1128901.3800000001
17002,Bico do Papagaio,2018-2021,50815688.01999999,49373448.63,1442239.39
16003,Área Sudoeste,2014-2017,17219515.57,15189640,2029875.57
17001,Médio Norte Araguaia,,195753622.36,176743057.04,19010565.319999993
17001,Médio Norte Araguaia,2018-2021,93083146.83000001,89431669.07,3651477.76
17001,Médio Norte Araguaia,2014-2017,43261158.27000001,36526257.8,6734900.469999999
17002,Bico do Papagaio,,96908228.29999997,93643863.86,3264364.4399999985
17002,Bico do Papagaio,2014-2017,20936905.589999996,20329410.56,607495.03
17003,Sudeste,,29146555.730000004,27378217.63,1768338.0999999992
17003,Sudeste,2014-2017,7800708.76,7585850,214858.76
17004,Cerrado Tocantins Araguaia,,84811155.14999998,79553442.89999999,5257712.250000001
17005,Ilha do Bananal,2018-2021,49066861.779999994,47750862.08,1315999.7
17006,Capim Dourado,2018-2021,18197270.47,17557716.9,639553.57
17004,Cerrado Tocantins Araguaia,2014-2017,15643746.320000002,15126786.15,516960.1699999999
17005,Ilha do Bananal,2014-2017,39435528.81,38431531.019999996,1003997.79
17005,Ilha do Bananal,,88056331.21,79202981.31,8853349.9
17006,Capim Dourado,,253027541.26000014,203350433.81,49677107.44999999
17006,Capim Dourado,2014-2017,536741854.12000006,278529801.65999997,258212052.45999995
17007,Cantão,,47922352.20000001,45112779.75999999,2809572.4399999995
17007,Cantão,2018-2021,16944004.37,16533924.75,410079.61999999994
17007,Cantão,2014-2017,13640157.02,13342545.200000001,297611.82
17008,Amor Perfeito,,51312919.47000002,48980786.83,2332132.64
17008,Amor Perfeito,2014-2017,12904850.239999998,12512410.36,392439.87999999995
21001,Açailândia,,53150443.23,50139003.78999999,3011439.4400000004
21001,Açailândia,2018-2021,821330.19,800030.19,21300
21001,Açailândia,2014-2017,2237581.34,2189074.5,48506.84
21002,Bacabal,,17971895.78,17564389.419999998,407506.36000000004
21002,Bacabal,2018-2021,1915000,1912356,2644
21002,Bacabal,2014-2017,8837205.76,8723589.51,113616.25
21003,Balsas,,25845572.470000006,24400965.819999997,1444606.6500000001
21003,Balsas,2018-2021,1738847,1730947,7900
21011,Pinheiro,2018-2021,6871672.08,6839015.25,32656.83
21003,Balsas,2014-2017,4151412.29,4068000,83412.29
21004,Barra do Corda,,25987823.61,24842702.39,1145121.22
21004,Barra do Corda,2018-2021,1486190.48,1419870.48,66320
21005,Caxias,2018-2021,4068678.12,3886301.21,182376.91
21008,Imperatriz,2018-2021,9927126.36,9838420.36,88706
21009,Itapecuru Mirim,2018-2021,43859602.199999996,43049046.019999996,810556.18
21004,Barra do Corda,2014-2017,2616809.42,2546080.75,70728.67
21005,Caxias,,31038281.290000003,29039565.43,1998715.86
21005,Caxias,2014-2017,2627174,2578688.6500000004,48485.350000000006
21006,Chapadinha,,44831233.27,43628193.4,1203039.87
21006,Chapadinha,2018-2021,4343843.970000001,4288370.51,55473.46000000001
21010,Pedreiras,2018-2021,2406661.9,2385611.06,21050.84
21014,Santa Inês,2018-2021,14940350.86,14833871.89,106478.97
21006,Chapadinha,2014-2017,10652401.530000001,9659820,992581.53
21007,Codó,,29212510.450000003,27972657.21,1239853.2400000002
21007,Codó,2018-2021,6148794.23,6039755.01,109039.22
21007,Codó,2014-2017,4183293.0300000003,4097350,85943.03
21008,Imperatriz,,44432910.120000005,42322338.38,2110571.7400000007
21008,Imperatriz,2014-2017,9475369.1,9398469.4,76899.7
21009,Itapecuru Mirim,,39058739.83,37666421.28999999,1392318.54
21009,Itapecuru Mirim,2014-2017,9015908.27,8866190.96,149717.31
21010,Pedreiras,,33144109.969999995,32131062.020000003,1013047.95
21010,Pedreiras,2014-2017,8291117.26,8122670,168447.26
21011,Pinheiro,,32118148.9,30943237.56,1174911.34
21011,Pinheiro,2014-2017,11028150.01,10892620.379999999,135529.63
21012,Presidente Dutra,,38901541.98000001,37609170.87,1292371.11
21012,Presidente Dutra,2018-2021,4027018.4000000004,4006758.18,20260.22
21012,Presidente Dutra,2014-2017,7187240.8,7132280.18,54960.62000000001
21013,Rosário,,35652186.760000005,34193131.980000004,1459054.7799999998
21013,Rosário,2018-2021,12999465.6,12879965.39,119500.20999999999
21013,Rosário,2014-2017,9216180.67,8939461.36,276719.31000000006
21014,Santa Inês,,34770467.55,33761897.480000004,1008570.0700000001
21014,Santa Inês,2014-2017,7560523.3,7499125.99,61397.31
21015,São João dos Patos,,45671470.15,44068282.650000006,1603187.5000000005
21015,São João dos Patos,2018-2021,8649660,8586240.45,63419.55
21016,São Luís,,729663850.3300003,654343968.01,75319882.32
21016,São Luís,2018-2021,7592809.64,7494796.82,98012.81999999999
21017,Timon,2018-2021,1875000,1869731.8,5268.2
21018,Viana,2018-2021,3482175.38,3443691.6,38483.78
22001,Carnaubais,2018-2021,9050861.55,8804493.23,246368.31999999998
22002,Chapada das Mangabeiras,2018-2021,26965036.49,26031434.6,933601.89
22003,Cocais,2018-2021,34726128.050000004,33770909.06,955218.99
