_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum
35012,Franco da Rocha,,498803,396400,102403
35013,Mananciais,,1186500,1095000,91500
35014,Rota dos Bandeirantes,,1786508.8599999999,1279048,507460.86
35021,Central do DRS II,,102096.61,100000,2096.61
35022,Lagos do DRS II,,1569471.71,1496245.81,73225.9
35023,Consórcios do DRS II,,710236.1699999999,680250,29986.170000000002
35032,Centro Oeste do DRS III,,100654.94,98200,2454.94
35033,Norte do DRS III,,220541.48,200000,20541.48
35034,Coração do DRS III,,375498.32,350000,25498.32
35041,Baixada Santista,,8725294.35,6687739.12,2037555.23
35051,Norte - Barretos,,417817.17,397500,20317.17
35052,Sul - Barretos,,109025,100000,9025
35062,Bauru,,511673.55,496250,15423.55
35063,Polo Cuesta,,1946981.46,1821400,125581.45999999999
35071,Bragança,,488064.86,400000,88064.86
35072,Região Metropolitana de Campinas,,27937047.850000005,25417000,2520047.8499999996
35073,Jundiaí,,23500000,21620000,1880000
35083,Alta Mogiana,,126413.19,120000,6413.19
35091,Adamantina,,205616.25,200000,5616.25
35092,Assis,,206200,198200,8000
35093,Marília,,3724249.5599999996,3093190.96,631058.6
35094,Ourinhos,,363873.82,356250,7623.82
35095,Tupã,,1928900.55,1650000,278900.55
35104,Rio Claro,,198652.93,195000,3652.93
35111,Alta Paulista,,319470.82,293900,25570.82
35112,Alta Sorocabana,,1178984.54,1010000,168984.53999999998
35113,Alto Capivari,,2047397.88,1762926,284471.88
35121,Vale do Ribeira,,524000,493000,31000
35131,Horizonte Verde,,2500160.33,2336129.67,164030.66
35132,Aquífero Guarani,,466186.48,442950,23236.48
35142,Mantiqueira,,485969.88,397500,88469.88
35151,Catanduva,,706655.32,677400,29255.32
35152,Santa Fé do Sul,,416225.16000000003,397650,18575.16
35153,Jales,,541571.35,519900,21671.35
35154,Fernandópolis,,1721916.0899999999,1626800,95116.09
35155,São José do Rio Preto,,550506.6100000001,538000,12506.61
35156,José Bonifácio,,105450.59,100000,5450.59
35161,Itapetininga,,570982.88,493900,77082.88
35162,Itapeva,,153061.22,150000,3061.22
35163,Sorocaba,,2650024.37,2398200,251824.37
35171,Alto Vale do Paraíba,,276107.3,250000,26107.3
35172,Circuito da Fé e Vale Histórico,,769817.5800000001,700000,69817.58
35173,Litoral Norte,,1573258.97,1250000,323258.97
35174,Vale do Paraíba/Região Serrana,,357091.86,343250,13841.859999999999
41001,1ª RS Paranaguá,,208000,200000,8000
41002,2ª RS Metropolitana,,2335350.5999999996,1991000,344350.6
41004,4ª RS Irati,,891882.02,694600,197282.02
41005,5ª RS Guarapuava,,3079223.6999999997,2706200,373023.7
41006,6ª RS União da Vitória,,704972.3,650000,54972.299999999996
41007,7ª RS Pato Branco,,2405298.34,2180900,224398.34
41008,8ª RS Francisco Beltrão,,5700363.74,5153384.91,546978.83
41009,9ª RS Foz do Iguaçu,,759450.3099999999,595700,163750.31
41010,10ª RS Cascavel,,3579365.7199999997,2772250,807115.7200000001
41011,11ª RS Campo Mourão,,1262331.4000000001,1135700,126631.40000000001
41012,12ª RS Umuarama,,3787137.9800000004,3532700,254437.97999999998
41013,13ª RS Cianorte,,1263785.76,1154000,109785.76000000001
41014,14ª RS Paranavaí,,774899.9,695700,79199.90000000001
41015,15ª RS Maringá,,2046543.03,1475500,571043.03
41016,16ª RS Apucarana,,767898.1,596400,171498.1
41017,17ª RS Londrina,,110528.79000000001,100000,10528.79
41019,19ª RS Jacarezinho,,105000,100000,5000
41020,20ª RS Toledo,,4234052.890000001,3190336.19,1043716.7000000001
41021,21ª RS Telêmaco Borba,,217000,195000,22000
41022,22ª RS Ivaiporã,,260022.29,243750,16272.29
42001,Extremo Oeste,,3442249.8099999996,2991315.99,450933.82
42002,Oeste,,2902926.1999999997,2436732.8,466193.4
42003,Xanxerê,,1968308.19,1729946,238362.19000000003
42004,Alto Vale do Itajaí,,1624251.8399999999,1290080,334171.84
42005,Foz do Rio Itajaí,,957545.6499999999,742200,215345.65
42006,Médio Vale do Itajaí,,3913902.27,3341500,572402.27
42007,Grande Florianópolis,,1736482.9300000002,1623750,112732.93
42008,Meio Oeste,,949364.3400000001,797500,151864.34
42009,Alto Vale do Rio do Peixe,,2078157.1400000001,1615973.31,462183.83
42010,Alto Uruguai Catarinense,,307987.65,300000,7987.65
42011,Nordeste,,838211.23,652140,186071.23
42012,Planalto Norte,,2296967.2800000003,1705307.25,591660.0300000001
42013,Serra Catarinense,,1920221.2,1754900,165321.19999999998
42015,Carbonífera,,1025501.88,899420,126081.88
42016,Laguna,,2013893.26,1574700,439193.26
43001,Região 01 - Verdes Campos,,4549908.57,3662469.85,887438.72
43002,Região 02 - Entre Rios,,1945463.69,1487929.5,457534.19
43003,Região 03 - Fronteira Oeste,,1849213.03,1214609.47,634603.56
43004,Região 04 - Belas Praias,,4922444.160000001,3797500,1124944.1600000001
43005,Região 05 - Bons Ventos,,651652.2799999999,593500,58152.28
43006,Região 06 - Vale do Paranhana e Costa Serr,,2333818.4299999997,2000000,333818.43
43007,Região 07 - Vale dos Sinos,,3643676.12,3321000,322676.12
43008,Região 08 - Vale do Caí e Metropolitana,,1871123.1400000001,1470111.45,401011.69
43009,Região 09 - Carbonífera/Costa Doce,,1187629.11,1093900,93729.11
43011,Região 11 - Sete Povos das Missões,,3358938.2100000004,2690800,668138.2100000001
43012,Região 12 - Portal das Missões,,536411.82,497500,38911.82
43013,Região 13 - Diversidade,,3298850.6700000004,2615600,683250.67
43014,Região 14 - Fronteira Noroeste,,2521813.67,1993900,527913.67
43015,Região 15 - Caminho das Águas,,1079907.62,974450,105457.62
43016,Região 16 - Alto Uruguai Gaúcho,,3106316.4699999997,2735940.71,370375.76
43017,Região 17 - Planalto,,4353616.62,3655660,697956.6200000001
43018,Região 18 - Araucárias,,2018694.7,1688200,330494.7
43019,Região 19 - Botucaraí,,1277967.61,1035700,242267.61000000002
43020,Região 20 - Rota da Produção,,2913860.03,2493550,420310.03
43021,Região 21 - Sul,,1021980.94,700000,321980.94
43022,Região 22 - Pampa,,826006.5900000001,700000,126006.59
43023,Região 23 - Caxias e Hortênsias,,2110387.09,1990900,119487.09
43024,Região 24 - Campos de Cima da Serra,,218640.7,196392,22248.7
43025,Região 25 - Vinhedos e Basalto,,118097.44,100000,18097.44
43026,Região 26 - Uva Vale,,344474.86,292500,51974.86
43027,Região 27 - Jacuí Centro,,1607050.6800000002,1480382.5,126668.18000000001
43028,Região 28 - Vinte e Oito,,348904.18,296400,52504.18
43029,Região 29 - Vales e Montanhas,,1952246.61,1590700,361546.61
43030,Região 30 - Vale da Luz,,1239102.1,775140,463962.10000000003
50001,Campo Grande,,5557060.09,5400000,157060.09
51002,Baixada Cuiabana,,4227779.11,3470000,757779.11
51004,Centro Norte,,666668,600000,66668
51005,Garças Araguaia,,1130000,1000000,130000
51006,Médio Araguaia,,538889,485000,53889
51007,Médio Norte Matogrossense,,3610952.76,3176000,434952.76
51008,Noroeste Matogrossense,,477777.78,430000,47777.78
51011,Oeste Matogrossense,,2231407.7,2100000,131407.7
51012,Sudoeste Matogrossense,,2421472.58,2200000,221472.58
51013,Sul Matogrossense,,583334,450000,133334
51015,Vale do Peixoto,,477778,430000,47778
51016,Vale dos Arinos,,150000,135000,15000
52001,Central,,4642310.08,4184500,457810.08
52002,Centro Sul,,1335396.3599999999,1295700,39696.36
52005,Estrada de Ferro,,207230.44,198200,9030.439999999999
52007,Nordeste II,,304700,295700,9000
52008,Norte,,1043048.3699999999,995700,47348.369999999995
52009,Oeste I,,612346.56,597500,14846.56
52010,Oeste II,,300600,294600,6000
52011,Pirineus,,312668.23,294600,18068.23
52012,Rio Vermelho,,100361,98200,2161
52013,São Patrício I,,1439187.52,1387700,51487.520000000004
52014,Serra da Mesa,,205000,200000,5000
52015,Sudoeste I,,102200,98200,4000
52016,Sudoeste II,,106068.97,98200,7868.97
52017,Sul,,414200,400000,14200
52018,São Patrício II,,1650000,1585000,65000
,,,3644444.45,3200000,444444.45
